date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:55	43/43	---M--	200	added ('OK')	text/plain	etag:%2267ccf443-2b%22	https://shantoroy.com/robots.txt		(from )
21:45:55	29159/29159	---M-Z	200	added ('OK')	text/html	etag:W/%2267ccf443-71e7%22	https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/	C:/Users/Jason/Downloads/awdaw/shantoroy.com/security/website-cloning-and-rerunning-in-localhost/index.html	(from )
21:45:56	250797/250797	---M--	200	added ('OK')	image/png	etag:%22624bdfe83183d14f427a42d0067cc633%22	https://live.staticflickr.com/65535/51895732364_0b8a245ce8_o.png	C:/Users/Jason/Downloads/awdaw/live.staticflickr.com/65535/51895732364_0b8a245ce8_o.png	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:56	65794/65794	---M-Z	200	added ('OK')	text/css	etag:W/%2267ccf443-10102%22	https://shantoroy.com/assets/css/main.css	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/css/main.css	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:56	59305/59305	---M-Z	200	added ('OK')	text/css	etag:W/%22e7a9-pX7mjRFgGw/Y5QN/wkH/ZadURzw%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5/css/all.min.css	C:/Users/Jason/Downloads/awdaw/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5/css/all.min.css	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:56	58868/58868	---M--	200	added ('OK')	image/png	etag:%2267ccf443-e5f4%22	https://shantoroy.com/assets/images/shantoroy-logo.png	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/images/shantoroy-logo.png	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:57	512738/512738	---M--	200	added ('OK')	image/png	etag:%2267ccf443-7d2e2%22	https://shantoroy.com/assets/images/sroy.png	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/images/sroy.png	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:57	191541/191541	---M--	200	added ('OK')	text/javascript	etag:17441365775989853394	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/Jason/Downloads/awdaw/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:57	1065881/1065881	---M--	200	added ('OK')	image/png	etag:%226a77d5c2c2d39867fb15702cd302767d%22	https://live.staticflickr.com/65535/53398371763_5fc8772ed9_o.png	C:/Users/Jason/Downloads/awdaw/live.staticflickr.com/65535/53398371763_5fc8772ed9_o.png	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:58	122382/122382	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267ccf443-1de0e%22	https://shantoroy.com/assets/js/main.min.js	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/js/main.min.js	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:58	29510/29510	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267ccf443-7346%22	https://shantoroy.com/assets/js/lunr/lunr.min.js	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/js/lunr/lunr.min.js	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:58	148304/148304	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267ccf443-24350%22	https://shantoroy.com/assets/js/lunr/lunr-store.js	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/js/lunr/lunr-store.js	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:58	2493/2493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267ccf443-9bd%22	https://shantoroy.com/assets/js/lunr/lunr-en.js	C:/Users/Jason/Downloads/awdaw/shantoroy.com/assets/js/lunr/lunr-en.js	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:45:59	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2014%20Mar%202025%2004:46:01%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/Users/Jason/Downloads/awdaw/connect.facebook.net/en_US/sdk.b.delayed	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
21:46:00	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bd98fe152383b603b4247d056bc2a9f%22	https://connect.facebook.net/en_US/sdk.js	C:/Users/Jason/Downloads/awdaw/connect.facebook.net/en_US/sdk.js	(from https://shantoroy.com/security/website-cloning-and-rerunning-in-localhost/)
